n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
4,uniform-random,0.12,,,0.2,50.75,15.666667,0.065698,0.142461,0.173943,0.2,0.12,0.12,0.0,2,0.12,45.498943
4,uniform-random,0.12,,,0.6,50.75,45.666667,0.197094,0.424258,0.519484,0.6,0.12,0.12,0.0,2,0.12,31.012136
4,uniform-random,0.12,,,0.2,51.0,15.5,0.065619,0.141943,0.168377,0.2,0.12,0.12,0.0,2,0.12,37.410829
4,uniform-random,0.12,,,0.6,51.0,45.666667,0.196856,0.423874,0.50513,0.6,0.12,0.12,0.0,2,0.12,40.811601
4,uniform-random,0.12,,,0.2,51.25,15.333333,0.06536,0.141137,0.168895,0.2,0.12,0.12,0.0,2,0.12,39.293425
4,uniform-random,0.12,,,0.6,51.25,45.166667,0.196081,0.421456,0.506684,0.6,0.12,0.12,0.0,2,0.12,39.710554
4,uniform-random,0.12,,,0.2,51.5,15.0,0.063189,0.13686,0.166481,0.2,0.12,0.12,0.0,2,0.12,37.456899
4,uniform-random,0.12,,,0.6,51.5,43.833333,0.189566,0.407846,0.497099,0.6,0.12,0.12,0.0,2,0.12,39.497793
4,uniform-random,0.12,,,0.2,51.75,12.833333,0.054271,0.117428,0.165228,0.2,0.12,0.12,0.0,2,0.12,34.985067
4,uniform-random,0.12,,,0.6,51.75,37.833333,0.162813,0.350723,0.493341,0.6,0.12,0.12,0.0,2,0.12,38.031198
4,uniform-random,0.12,,,0.2,52.0,12.833333,0.05342,0.11606,0.168888,0.2,0.12,0.12,0.0,2,0.12,43.333918
4,uniform-random,0.12,,,0.6,52.0,37.166667,0.160261,0.345053,0.506663,0.6,0.12,0.12,0.0,2,0.12,41.832456
4,uniform-random,0.12,,,0.2,52.25,14.833333,0.061932,0.134447,0.173939,0.2,0.12,0.12,0.0,2,0.12,33.690639
4,uniform-random,0.12,,,0.6,52.25,43.166667,0.185796,0.400214,0.519473,0.6,0.12,0.12,0.0,2,0.12,43.233306
4,uniform-random,0.12,,,0.2,52.5,16.0,0.068299,0.147428,0.168435,0.2,0.12,0.12,0.0,2,0.12,48.857291
4,uniform-random,0.12,,,0.6,52.5,47.166667,0.204896,0.440331,0.505306,0.6,0.12,0.12,0.0,2,0.12,42.332907
4,uniform-random,0.12,,,0.2,52.75,16.166667,0.068133,0.147551,0.174102,0.2,0.12,0.12,0.0,2,0.12,36.675376
4,uniform-random,0.12,,,0.6,52.75,47.333333,0.204397,0.439919,0.519963,0.6,0.12,0.12,0.0,2,0.12,32.931303
4,uniform-random,0.12,,,0.2,53.0,14.666667,0.062089,0.134309,0.16555,0.2,0.12,0.12,0.0,2,0.12,44.62106
4,uniform-random,0.12,,,0.6,53.0,43.0,0.186268,0.400584,0.494307,0.6,0.12,0.12,0.0,2,0.12,66.97842
4,uniform-random,0.12,,,0.2,53.25,14.333333,0.060504,0.130976,0.173943,0.2,0.12,0.12,0.0,2,0.12,34.156455
4,uniform-random,0.12,,,0.6,53.25,42.166667,0.181512,0.390975,0.519484,0.6,0.12,0.12,0.0,2,0.12,41.253093
4,uniform-random,0.12,,,0.2,53.5,15.0,0.06359,0.137506,0.174064,0.2,0.12,0.12,0.0,2,0.12,43.981017
4,uniform-random,0.12,,,0.6,53.5,44.166667,0.190769,0.410563,0.519849,0.6,0.12,0.12,0.0,2,0.12,40.73289
4,uniform-random,0.12,,,0.2,53.75,15.5,0.06617,0.14283,0.174158,0.2,0.12,0.12,0.0,2,0.12,33.971442
4,uniform-random,0.12,,,0.6,53.75,45.833333,0.198508,0.426926,0.52013,0.6,0.12,0.12,0.0,2,0.12,35.97471
4,uniform-random,0.12,,,0.2,54.0,15.833333,0.066808,0.144638,0.167316,0.2,0.12,0.12,0.0,2,0.12,36.545819
4,uniform-random,0.12,,,0.6,54.0,46.5,0.200422,0.431569,0.501947,0.6,0.12,0.12,0.0,2,0.12,51.318452
5,uniform-random,0.12,,,0.2,46.0,16.166667,0.06866,0.148401,0.174797,0.2,0.12,0.12,0.0,2,0.12,44.24267
5,uniform-random,0.12,,,0.6,46.0,47.666667,0.20598,0.443249,0.522048,0.6,0.12,0.12,0.0,2,0.12,42.984323
5,uniform-random,0.12,,,0.2,46.25,16.5,0.069899,0.151176,0.176584,0.2,0.12,0.12,0.0,2,0.12,34.375502
5,uniform-random,0.12,,,0.6,46.25,48.5,0.209697,0.451183,0.529752,0.6,0.12,0.12,0.0,2,0.12,39.664582
5,uniform-random,0.12,,,0.2,46.5,16.166667,0.069037,0.149007,0.173693,0.2,0.12,0.12,0.0,2,0.12,45.038997
5,uniform-random,0.12,,,0.6,46.5,47.666667,0.207109,0.445067,0.518734,0.6,0.12,0.12,0.0,2,0.12,36.452213
5,uniform-random,0.12,,,0.2,46.75,14.666667,0.061807,0.133856,0.172698,0.2,0.12,0.12,0.0,2,0.12,33.828071
5,uniform-random,0.12,,,0.6,46.75,43.0,0.185422,0.399223,0.513407,0.6,0.12,0.12,0.0,2,0.12,37.945882
5,uniform-random,0.12,,,0.2,47.0,14.833333,0.063018,0.136194,0.176412,0.2,0.12,0.12,0.0,2,0.12,40.09939
5,uniform-random,0.12,,,0.6,47.0,43.833333,0.189052,0.407019,0.529236,0.6,0.12,0.12,0.0,2,0.12,36.798016
5,uniform-random,0.12,,,0.2,47.25,16.333333,0.069096,0.149492,0.175515,0.2,0.12,0.12,0.0,2,0.12,32.83199
5,uniform-random,0.12,,,0.6,47.25,47.833333,0.207287,0.445742,0.5242,0.6,0.12,0.12,0.0,2,0.12,43.103006
5,uniform-random,0.12,,,0.2,47.5,17.0,0.072772,0.156972,0.172696,0.2,0.12,0.12,0.0,2,0.12,38.310999
5,uniform-random,0.12,,,0.6,47.5,50.333333,0.218316,0.469354,0.513401,0.6,0.12,0.12,0.0,2,0.12,42.404428
5,uniform-random,0.12,,,0.2,47.75,16.333333,0.069674,0.150423,0.17641,0.2,0.12,0.12,0.0,2,0.12,38.238539
5,uniform-random,0.12,,,0.6,47.75,48.166667,0.209022,0.449317,0.52923,0.6,0.12,0.12,0.0,2,0.12,42.323425
5,uniform-random,0.12,,,0.2,48.0,14.666667,0.062347,0.134725,0.167931,0.2,0.12,0.12,0.0,2,0.12,36.271675
5,uniform-random,0.12,,,0.6,48.0,43.333333,0.187042,0.40261,0.503792,0.6,0.12,0.12,0.0,2,0.12,39.690255
5,uniform-random,0.12,,,0.2,48.25,13.666667,0.057898,0.12522,0.17644,0.2,0.12,0.12,0.0,2,0.12,42.567735
5,uniform-random,0.12,,,0.6,48.25,40.166667,0.173694,0.373706,0.529319,0.6,0.12,0.12,0.0,2,0.12,37.391381
5,uniform-random,0.12,,,0.2,48.5,13.666667,0.058343,0.125936,0.173155,0.2,0.12,0.12,0.0,2,0.12,35.072471
5,uniform-random,0.12,,,0.6,48.5,40.5,0.175029,0.376635,0.514778,0.6,0.12,0.12,0.0,2,0.12,46.015331
5,uniform-random,0.12,,,0.2,48.75,14.0,0.058866,0.127559,0.172696,0.2,0.12,0.12,0.0,2,0.12,40.811364
5,uniform-random,0.12,,,0.6,48.75,40.833333,0.1766,0.379944,0.513401,0.6,0.12,0.12,0.0,2,0.12,39.823989
5,uniform-random,0.12,,,0.2,49.0,14.666667,0.062167,0.134434,0.168055,0.2,0.12,0.12,0.0,2,0.12,39.449404
5,uniform-random,0.12,,,0.6,49.0,43.0,0.186501,0.400959,0.504165,0.6,0.12,0.12,0.0,2,0.12,38.419275
5,uniform-random,0.12,,,0.2,49.25,14.0,0.058674,0.127249,0.173624,0.2,0.12,0.12,0.0,2,0.12,45.685533
5,uniform-random,0.12,,,0.6,49.25,40.666667,0.176021,0.378622,0.516185,0.6,0.12,0.12,0.0,2,0.12,36.048039
5,uniform-random,0.12,,,0.2,49.5,14.833333,0.062773,0.1358,0.175263,0.2,0.12,0.12,0.0,2,0.12,34.361844
5,uniform-random,0.12,,,0.6,49.5,43.666667,0.188318,0.405446,0.523447,0.6,0.12,0.12,0.0,2,0.12,36.86693
5,uniform-random,0.12,,,0.2,49.75,17.0,0.071748,0.155325,0.175515,0.2,0.12,0.12,0.0,2,0.12,43.849245
5,uniform-random,0.12,,,0.6,49.75,49.666667,0.215245,0.462849,0.5242,0.6,0.12,0.12,0.0,2,0.12,48.378926
5,uniform-random,0.12,,,0.2,50.0,18.5,0.078937,0.170411,0.172696,0.2,0.12,0.12,0.0,2,0.12,45.939563
5,uniform-random,0.12,,,0.6,50.0,54.5,0.236812,0.50889,0.513401,0.6,0.12,0.12,0.0,2,0.12,39.44962
5,uniform-random,0.12,,,0.2,50.25,18.666667,0.080037,0.172571,0.17641,0.2,0.12,0.12,0.0,2,0.12,37.317141
5,uniform-random,0.12,,,0.6,50.25,55.166667,0.240111,0.515761,0.52923,0.6,0.12,0.12,0.0,2,0.12,38.559539
5,uniform-random,0.12,,,0.2,50.5,17.0,0.072811,0.157034,0.176138,0.2,0.12,0.12,0.0,2,0.12,47.915362
5,uniform-random,0.12,,,0.6,50.5,50.5,0.218431,0.46993,0.528415,0.6,0.12,0.12,0.0,2,0.12,34.53674
5,uniform-random,0.12,,,0.2,50.75,15.833333,0.066991,0.144933,0.17644,0.2,0.12,0.12,0.0,2,0.12,41.840809
5,uniform-random,0.12,,,0.6,50.75,46.5,0.200974,0.432456,0.529319,0.6,0.12,0.12,0.0,2,0.12,43.097536
5,uniform-random,0.12,,,0.2,51.0,15.833333,0.066954,0.144873,0.17445,0.2,0.12,0.12,0.0,2,0.12,43.024218
5,uniform-random,0.12,,,0.6,51.0,46.5,0.200862,0.432277,0.521008,0.6,0.12,0.12,0.0,2,0.12,42.916291
5,uniform-random,0.12,,,0.2,51.25,15.833333,0.066724,0.144504,0.176613,0.2,0.12,0.12,0.0,2,0.12,34.256787
5,uniform-random,0.12,,,0.6,51.25,46.333333,0.200173,0.430777,0.52984,0.6,0.12,0.12,0.0,2,0.12,34.834624
5,uniform-random,0.12,,,0.2,51.5,15.166667,0.064506,0.139371,0.174097,0.2,0.12,0.12,0.0,2,0.12,43.224346
5,uniform-random,0.12,,,0.6,51.5,44.5,0.193519,0.415771,0.519948,0.6,0.12,0.12,0.0,2,0.12,35.096873
5,uniform-random,0.12,,,0.2,51.75,13.166667,0.055412,0.120046,0.167473,0.2,0.12,0.12,0.0,2,0.12,42.010259
5,uniform-random,0.12,,,0.6,51.75,38.666667,0.166235,0.358184,0.502418,0.6,0.12,0.12,0.0,2,0.12,38.970276
5,uniform-random,0.12,,,0.2,52.0,13.0,0.054539,0.118251,0.172774,0.2,0.12,0.12,0.0,2,0.12,33.785962
5,uniform-random,0.12,,,0.6,52.0,38.0,0.163617,0.352408,0.513634,0.6,0.12,0.12,0.0,2,0.12,32.046771
5,uniform-random,0.12,,,0.2,52.25,15.0,0.063144,0.136788,0.175515,0.2,0.12,0.12,0.0,2,0.12,39.569812
