n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
4,uniform-random,0.12,,,0.0,30.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,43.202156
4,uniform-random,0.12,,,0.2,30.0,18.0,0.076764,0.165741,0.168435,0.2,0.12,0.12,0.0,2,0.12,39.762952
4,uniform-random,0.12,,,0.6,30.0,53.0,0.230292,0.494879,0.505306,0.6,0.12,0.12,0.0,2,0.12,38.564165
4,uniform-random,0.12,,,0.0,32.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,32.029389
4,uniform-random,0.12,,,0.2,32.0,12.833333,0.053737,0.116569,0.168888,0.2,0.12,0.12,0.0,2,0.12,39.633913
4,uniform-random,0.12,,,0.6,32.0,37.333333,0.16121,0.346972,0.506663,0.6,0.12,0.12,0.0,2,0.12,40.618035
4,uniform-random,0.12,,,0.0,34.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,56.164123
4,uniform-random,0.12,,,0.2,34.0,16.0,0.067699,0.146463,0.167845,0.2,0.12,0.12,0.0,2,0.12,34.581203
4,uniform-random,0.12,,,0.6,34.0,47.0,0.203097,0.437045,0.503536,0.6,0.12,0.12,0.0,2,0.12,48.51659
4,uniform-random,0.12,,,0.0,36.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,40.352071
4,uniform-random,0.12,,,0.2,36.0,13.5,0.057298,0.123863,0.168377,0.2,0.12,0.12,0.0,2,0.12,38.161191
4,uniform-random,0.12,,,0.6,36.0,39.833333,0.171894,0.370027,0.50513,0.6,0.12,0.12,0.0,2,0.12,48.988248
4,uniform-random,0.12,,,0.0,38.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,37.318188
4,uniform-random,0.12,,,0.2,38.0,16.833333,0.071426,0.154414,0.173451,0.2,0.12,0.12,0.0,2,0.12,34.047502
4,uniform-random,0.12,,,0.6,38.0,49.333333,0.214277,0.460509,0.515665,0.6,0.12,0.12,0.0,2,0.12,35.398209
4,uniform-random,0.12,,,0.0,40.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,42.619385
4,uniform-random,0.12,,,0.2,40.0,16.0,0.068299,0.147428,0.168435,0.2,0.12,0.12,0.0,2,0.12,39.805302
4,uniform-random,0.12,,,0.6,40.0,47.166667,0.204896,0.440331,0.505306,0.6,0.12,0.12,0.0,2,0.12,49.699248
4,uniform-random,0.12,,,0.0,42.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,57.97068
4,uniform-random,0.12,,,0.2,42.0,15.166667,0.064462,0.139301,0.17468,0.2,0.12,0.12,0.0,2,0.12,46.561448
